vessel_id,registry_count,reg_mmsi,reg_flag,reg_name,reg_imo,reg_geartype,reg_owner,ais_mmsi,ais_flag,ais_name,ais_match_fields,ais_msg_count,no_registry,flag_mismatch,name_mismatch,no_match,no_shipname,mmsi_history_count,mmsi_history,parse_error
9a9a06be8-8d50-ee38-4a48-77e827810b12,0.0,,,,,[],,413275150,CHN,ZHONG TIAN QI HANG,NO_MATCH,2120353.0,True,False,False,True,False,1.0,['413275150'],
90fcf8250-0fb1-aa3e-ca0f-836acbe1afb0,0.0,,,,,[],,413225230,CHN,JIE HANG 16,NO_MATCH,2624757.0,True,False,False,True,False,1.0,['413225230'],
cc8b357f2-2de7-f9f8-4820-d6f96bee9901,0.0,,,,,[],,413704320,CHN,AN TONG TANG SHAN,NO_MATCH,1254273.0,True,False,False,True,False,1.0,['413704320'],
59abdcf11-134a-969d-53f5-374d0052e354,0.0,,,,,[],,413385550,CHN,TIELONG63855-50-96%,NO_MATCH,5563.0,True,False,False,True,False,1.0,['413385550'],
9d165ce5e-ec2d-a583-1ceb-457806eae274,0.0,,,,,[],,413700520,CHN,AO TONG 3,NO_MATCH,1936433.0,True,False,False,True,False,1.0,['413700520'],
9668fb6c3-316c-cf82-0732-6a7609269b3d,0.0,,,,,[],,413187036,CHN,TIELONG61870-36-99%,NO_MATCH,890.0,True,False,False,True,False,1.0,['413187036'],
d82386f25-50c8-96df-7f7e-4d3a247fcae1,0.0,,,,,[],,413240070,CHN,XIN HENG YANG18,NO_MATCH,2852532.0,True,False,False,True,False,1.0,['413240070'],
21fb37838-819c-cb9c-f1d0-1c7522c98720,0.0,,,,,[],,413707350,CHN,YAN ZHAN 67,NO_MATCH,4594000.0,True,False,False,True,False,1.0,['413707350'],
163fb773f-f3c3-ddf7-ad72-d863869b0e4e,0.0,,,,,[],,412452934,CHN,,NO_MATCH,209.0,True,False,False,True,True,1.0,['412452934'],
16baf7118-8ccf-f89d-fa2a-9788a61c206d,1.0,413440160,CHN,HUALE3,9618068,['CARGO'],REN ZD,413440160,CHN,HUA LE 3,SEVERAL_FIELDS,3955238.0,False,False,True,False,False,1.0,['413440160'],
959a80330-0626-e098-c862-8b5b7cf38eb7,0.0,,,,,[],,413481680,CHN,ZHONG GU 20,NO_MATCH,2529691.0,True,False,False,True,False,1.0,['413481680'],
5dbc25454-412f-efa9-c9e9-69c441722944,0.0,,,,,[],,413442990,CHN,JIA HANG 003,NO_MATCH,1423577.0,True,False,False,True,False,1.0,['413442990'],
a39b9e8c7-7d96-bbd5-5981-7b497acee434,0.0,,,,,[],,413616201,CHN,MINLIANYU60162-1-83%,NO_MATCH,106.0,True,False,False,True,False,1.0,['413616201'],
c86861653-3d85-ca74-36b5-0ecad5377a2e,0.0,,,,,[],,413544020,CHN,HUA SHENG JUN LONG,NO_MATCH,2940874.0,True,False,False,True,False,1.0,['413544020'],
c04b290da-a61a-60e3-5525-ca34b537d10b,0.0,,,,,[],,413265270,CHN,JI XIANG JIN XIU,NO_MATCH,2203378.0,True,False,False,True,False,1.0,['413265270'],
d46588a44-47c0-6072-e704-ce12900097b2,0.0,,,,,[],,413512590,CHN,HONG XIANG ZHUO YUE,NO_MATCH,1590085.0,True,False,False,True,False,1.0,['413512590'],
