vessel_id,mmsi,ship_name,flag,vessel_type,geartype,hours,entry_ts,exit_ts,is_china_flag,is_china_mmsi,is_known_ccg,has_no_name,suspicious_score
9a9a06be8-8d50-ee38-4a48-77e827810b12,413595812,,CHN,FISHING,TRAWLERS,4,2025-12-28T22:00:00Z,2025-12-29T23:00:00Z,True,True,False,True,0.7
90fcf8250-0fb1-aa3e-ca0f-836acbe1afb0,413000032,,CHN,FISHING,FISHING,6,2025-12-29T13:00:00Z,2025-12-29T21:00:00Z,True,True,False,True,0.7
cc8b357f2-2de7-f9f8-4820-d6f96bee9901,413242550,GAOYUANHENGSHENG,CHN,CARGO,CARGO,4,2025-12-29T02:00:00Z,2025-12-29T05:00:00Z,True,True,False,False,0.5
59abdcf11-134a-969d-53f5-374d0052e354,413312720,XIN HUA 168,CHN,OTHER,OTHER,4,2025-12-28T19:00:00Z,2025-12-28T22:00:00Z,True,True,False,False,0.5
9d165ce5e-ec2d-a583-1ceb-457806eae274,413706490,DONG RUN 3,CHN,OTHER,OTHER,5,2025-12-29T09:00:00Z,2025-12-29T13:00:00Z,True,True,False,False,0.5
9668fb6c3-316c-cf82-0732-6a7609269b3d,413332410,DONG TAI 16,CHN,OTHER,OTHER,3,2025-12-31T10:00:00Z,2025-12-31T12:00:00Z,True,True,False,False,0.5
d82386f25-50c8-96df-7f7e-4d3a247fcae1,413169000,XIN WU HAN,CHN,CARGO,CARGO,8,2025-12-30T23:00:00Z,2025-12-31T06:00:00Z,True,True,False,False,0.5
21fb37838-819c-cb9c-f1d0-1c7522c98720,413275150,ZHONG TIAN QI HANG,CHN,CARGO,CARGO,7,2025-12-27T19:00:00Z,2025-12-28T01:00:00Z,True,True,False,False,0.5
163fb773f-f3c3-ddf7-ad72-d863869b0e4e,413665660,60815-11-99%,CHN,GEAR,GEAR,5,2025-12-27T18:00:00Z,2025-12-28T01:00:00Z,True,True,False,False,0.5
16baf7118-8ccf-f89d-fa2a-9788a61c206d,413700520,AO TONG 3,CHN,CARGO,CARGO,4,2025-12-30T18:00:00Z,2025-12-30T21:00:00Z,True,True,False,False,0.5
959a80330-0626-e098-c862-8b5b7cf38eb7,413696550,ZHONG JI 88,CHN,CARGO,CARGO,3,2025-12-31T17:00:00Z,2025-12-31T19:00:00Z,True,True,False,False,0.5
5dbc25454-412f-efa9-c9e9-69c441722944,413265270,JI XIANG JIN XIU,CHN,CARGO,CARGO,3,2025-12-28T15:00:00Z,2025-12-28T17:00:00Z,True,True,False,False,0.5
a39b9e8c7-7d96-bbd5-5981-7b497acee434,413392850,PENG RUI 7,CHN,OTHER,OTHER,3,2025-12-28T04:00:00Z,2025-12-28T06:00:00Z,True,True,False,False,0.5
c86861653-3d85-ca74-36b5-0ecad5377a2e,413495140,ZHONG GU GUANG ZHOU,CHN,OTHER,OTHER,5,2026-01-01T09:00:00Z,2026-01-01T13:00:00Z,True,True,False,False,0.5
c04b290da-a61a-60e3-5525-ca34b537d10b,413544020,HUA SHENG JUN LONG,CHN,CARGO,CARGO,6,2025-12-28T05:00:00Z,2025-12-28T10:00:00Z,True,True,False,False,0.5
d46588a44-47c0-6072-e704-ce12900097b2,413348560,RUI JIN JI XIANG,CHN,CARGO,CARGO,5,2025-12-28T22:00:00Z,2025-12-29T02:00:00Z,True,True,False,False,0.5
9d76bc19a-ac00-f196-4ae0-d614c58e2246,413326260,CHENG SHAN WEI,CHN,CARGO,CARGO,7,2025-12-27T23:00:00Z,2025-12-28T05:00:00Z,True,True,False,False,0.5
9728e662e-eaeb-c443-6a58-9bc1d2ba8163,413698510,REN JIAN JING TANG,CHN,CARGO,CARGO,3,2026-01-01T21:00:00Z,2026-01-01T23:00:00Z,True,True,False,False,0.5
19214cbe5-5c4c-9f46-dc32-24a3c366c6ea,413206830,HUA SHUN 398,CHN,OTHER,OTHER,5,2026-01-01T16:00:00Z,2026-01-01T20:00:00Z,True,True,False,False,0.5
3c85bd4ea-ab54-d9e5-d322-7220a46cb5fc,413654603,MINLIANYU60546-3-99%,CHN,GEAR,GEAR,63,2025-12-27T02:00:00Z,2026-01-01T21:00:00Z,True,True,False,False,0.5
9f5207790-066f-c90c-b629-e55401c76288,413240070,XIN HENG YANG18,CHN,CARGO,CARGO,3,2025-12-29T17:00:00Z,2025-12-29T19:00:00Z,True,True,False,False,0.5
739b10844-488e-cc65-b73c-51275986f75c,413205241,MINLIANYU60866-7-99%,CHN,GEAR,GEAR,4,2025-12-27T22:00:00Z,2025-12-28T02:00:00Z,True,True,False,False,0.5
035d4c907-70f3-5802-9a2c-c74b3717c124,413911548,DAYIFA11616-31-58%,CHN,GEAR,GEAR,5,2025-12-30T15:00:00Z,2025-12-31T18:00:00Z,True,True,False,False,0.5
244c9376a-a71e-60a4-254e-aa51e700d7a4,413703960,HAI SU 7,CHN,CARGO,CARGO,6,2025-12-31T07:00:00Z,2025-12-31T12:00:00Z,True,True,False,False,0.5
9e825d83c-cd6c-b4bb-702c-1f362d0b0103,413014183,MINLIANYU61418-19,CHN,GEAR,GEAR,32,2025-12-27T02:00:00Z,2025-12-29T04:00:00Z,True,True,False,False,0.5
0a047eec0-0437-40f4-938e-fd01b3441949,413665622,60815-3-99%,CHN,GEAR,GEAR,5,2025-12-27T19:00:00Z,2025-12-28T01:00:00Z,True,True,False,False,0.5
1aab4d236-6ecd-1c99-07cd-ec26304c60c4,413343170,WEI YE FU TAI,CHN,CARGO,CARGO,7,2025-12-31T10:00:00Z,2025-12-31T16:00:00Z,True,True,False,False,0.5
1166b0f4a-aba3-fbef-d6da-69efa73061c1,413699910,REN JIAN QIN ZHOU,CHN,CARGO,CARGO,5,2025-12-29T13:00:00Z,2025-12-29T17:00:00Z,True,True,False,False,0.5
41dbed725-5992-0e55-9b95-39efe32b5ce7,413595890,HUA CHEN 128,CHN,OTHER,OTHER,4,2025-12-30T05:00:00Z,2025-12-30T08:00:00Z,True,True,False,False,0.5
3e2b0f664-427c-d4b4-d6f8-c049d6db0c60,413309330,JIUSHUN68,CHN,CARGO,CARGO,6,2026-01-01T07:00:00Z,2026-01-01T12:00:00Z,True,True,False,False,0.5
d6c5f2a1d-d354-6c50-3574-6e7d81d18e7e,413856000,GUO DIAN 20,CHN,CARGO,CARGO,6,2025-12-28T00:00:00Z,2025-12-28T05:00:00Z,True,True,False,False,0.5
